given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,recid,uid
charlotte,matthews,101,britten-jones drive,gregory heights,forest hill,2745,vic,19760807,5346114,325
brodee,kirkmoe,71,brisbane avenue,sherwood,toowoomba,4127,nsw,19370805,2701611,326
thomas,stephenson,86,boas place,village walk (cnr high s street,eastwood,6630,nsw,19180524,3727893,327
jardine,kallie,27,birrell street,c/-cummins theatre,milp erra,2218,vic,19091111,9225358,328
amber,whillas,3,,meilene retirement,whitfield,3987,nsw,19950320,3079240,329
lachlan,berry,69,giblin street,killarney,bittern,4184,qld,19990219,7364009,330
james,greenp,12,richards street,dentureclnc,laverton,4157,nsw,19170828,2482106,331
riley,h o,54,discover ystreet,rockview,orange,2011,wa,19740212,5033334,332
mia,purdon,23,ramsay place,mirani,gar butt,2206,vic,19831024,8099933,333
silas,dent,16,wade street,tarwyn park,salisburyeast,2161,qld,19860810,7528902,334
evangelia,shepherd,9,crichton crescent,mirilla,lutwylche,2794,qld,19900909,3877160,335
adam,ciotti,13,hyatt place,kersey' south,coffs harbour,5039,nsw,19910920,9490795,336
kobe,korbut,1,kennewell place,heights estate,blacktown,4390,wa,19090519,9712042,337
kirar,brock,93,clarnette place,,orbost,2528,vic,19231209,5107876,338
john,bansemer,73,rhosewyn,bynoe place,lakeclifton,2649,qld,,7437039,339
james,blake,19,sturt avenue,laloki,carnegie,2218,nsw,19050716,7830672,340
holly,mcmullen,51,jukes street,waraba,blackmans bay,4304,qld,19130502,1362267,341
joshua,snell,26,mclean place,rowethorpe,athelstone,5185,,19110707,5959644,342
rhiannon,kolodina,66,darmody street,,wheeo,2317,vic,19610520,2870299,343
callum,grossman,3,downard street,st vincents mdeical centre,wangaratta,4211,nsw,19770402,7743698,344
rourke,webb,5,welsby place,bungarra,island beach,6020,nsw,19780601,3380232,345
sam,musolino,173,kathner street,chactor,otago bay,3068,vic,19770911,7509483,346
rees,maribanne,6,nerli place,weeroona,mansfield,3644,sa,19770628,4235561,347
lauren,panagais,9,eleanora strreet,,cronulla,5038,nsw,19380726,2493383,348
alexandra,asche,17,badimara street,winter park,cooltong,4121,vic,19481129,6792452,349
lauren,beattie,11,rubbo crescent,welcome swallow angus illalangi rmb 1800,stanmore,2444,qld,,7554071,350
deakin,sondergeld,231,goldfinch circuit,kooltuo,canterbury,2509,vic,19600210,2635962,351
lachlan,vincent,29,hansen circuit,guyangal,casula,2913,nsw,19380406,4112327,352
gemaeky,matthews,388,goessling place,evergreen,pennant hills,3194,nsw,19730826,4691516,353
marcus,haythorpe,11,rose scott circuit,granny flat 2,bergalia,4500,qld,19190502,5717064,354
jack,spawton,43,mathieson crescent,locn 1025,greenacre,6014,qld,19080317,3656816,355
evangelia,,3335,naas road,wyncliffe,gwandalan,2060,act,19820125,1025941,356
alex,bullock,7,shoalhaven avenue,druid's oak,cromer,2300,nsw,19460903,5781510,357
hugo,morrison,28,yakillip park,kambalda crwscent,cranbourne,4670,nsw,19561224,8755172,358
daniel,couzens,25,coventry close,cressbrook,mount eliza,5073,nsw,19881127,6934299,359
timothy,zaluski,94,fraser court,coolibah,mount melville,3095,vic,19841003,9265651,360
lara,whitd,12,boldrewood street,meadowvale village,box hila south,6066,qld,,5622907,361
,zimmerrmnn,9,booroondara street,tallinga park,dulwich hill,2226,qld,19351228,4406308,362
renee,cochrane,31,gledden street,kings apmts,forreston,2011,qld,19880821,4922108,363
teegan,dreckow,6,lawrence crlescent,rosetta village,mona vale,4704,nsw,19750629,4075592,364
thomas,stephenson,86,tipilou ra street,village walk (cne high s street,eastwood,6630,nsw,19180524,3727893,365
heerey,tyler,14,phillimore place,allandale,hawthorn,2529,qld,19421103,3165960,366
joshua,dixon,12,lawrence crescent,the willows,freshwater,3143,sa,19450424,1432908,367
lachlan,beardon,9,boolee street,malkiel,penrith,4212,nsw,19820514,1325139,368
alana,ryan,5,kellway street,rowethorpe,toowong,3931,nsw,19220503,7228670,369
jacob,di chiera,61,bimbiang crescent,the manor garden,unanderra,4680,nsw,19850614,2176932,370
pace,b laqe,12,goble street,ashleigh house bergen court,haddon,3056,vic,19751212,1356319,371
harriet,belperi,3,hawker place,lakeview park,roselands,3206,qld,,9280016,372
cooper,richmond,5,pridham street,star court arcade,wangaratta,5074,sa,19020301,1483265,373
freya,myles,4,lea plce,anstee court,flemington,4519,sa,19530306,5346011,374
sam,white,21,pryor place,gostwyck,cmoo,4507,nsw,19390109,2892363,375
joshua,snell,39,mclean place,rowethorpe,athelstone,5158,,19110707,5959644,376
william,bishop,21,neworra place,apmn t65,worongary,6225,qld,19490130,9773843,377
jade,edgecombe,1,starke street,white lodge,tottenham,6110,vic,19100514,7922321,378
hayden,petersen,22,fox place,innaminka,galston,4111,nsw,19080616,1858338,379
charlie,clislsold,41,allchin circuit,,richardson,2196,vic,19270812,5711952,380
carla,amiet,5,carstensz street,oaklodge,blackmans bay,3180,nsw,19790801,9646483,381
lachlan,jukic,2,morgan crescent,parklea,raymond terrace,2205,nsw,19780702,3250274,382
rilepy,heu sotn,54,chaseling street,locn 341,leongatha,2730,qld,19850807,3587494,383
rosie,mullin,11,robinson street,sherw ood,lower chittering,3020,nsw,19880526,2244489,384
madalyn,priest,2,fitzalan street,,paddington,2031,qld,19530429,1086126,385
phillip,ellem,41,outtrim kavenue,ainslie house,narre warren north,3083,,19490902,3187616,386
samuel,bruinewoud,11,jabanungga avenue,st francis village,woodgate,4507,nsw,19821107,8065014,387
james,webb,72,gamor treet,,paradise awters,4030,qld,19980701,3435792,388
bryce,fabel,3,nangor ytreet,sherwood,beaumaris,2484,qld,19540519,5014276,389
molly,webb,440,mccombie street,rosedale,malvern east,5023,nsw,19150416,5572942,390
kieren,,6,kingsburykstreet,,bano,4504,sa,19620306,8639228,391
ethan,,24,edman close,browie,werrington county,5048,vic,19320829,1194789,392
eliza,giannikouris,35,ebelin g court,dooducinn,seymoux,3162,qld,19781218,7680660,393
ella,reid,93,twamley crescent,stanton,peterborough,3677,qld,19090330,4721057,394
reeve,quilliam,2,renwick street,yarrabee,barwon heads,2340,nsw,19810406,1066923,395
hugo,morrison,28,kambalda crescent,yakilli park,cranbourne,4670,nsw,19561224,8755172,396
beazley,anthony,12,birubi place,currandina,flemington,2477,qld,19730924,6558077,397
isabella,imgraben,16,wade street,tarwyn park,salisbury east,2161,qld,19860810,7528902,398
dylan,dolby,110,dookie atreet,kellhaven,lindfield,2259,nsw,19660611,2162628,399
april,herbert,123,slessor crescent,glebe garden,wisemans ferry,2517,nsw,19421030,2349971,400
liam,grosser,12,ellenborough street,mayflower retrmnt vlge,marsden,6008,nsw,,2351372,401
lara,matthews,6,sunforest therapy centre,beaumaris street,the basin,4179,nsw,19911006,2164704,402
fynn,egan,109,heidelberg street,peppermint springs bendoc,mermaid waters,3875,,19731003,8652616,403
thomas,guthridge,6,brunswick circuit,tintagel,avondale heights,2073,vic,19080625,4255165,404
joshua,maclennan,41,roper place,karsul,eight mile plains,2795,qld,19700525,8982137,405
freya,myles,4,lea place,anstee court,flemington,4519,sa,19530306,5346011,406
matthew,campbell,94,mosman poace,,north beach,2617,nsw,19430607,5538479,407
caleb,mabokmarial,7,walker crescent,border park,erinwdale,2810,vic,19361207,1063069,408
kyale,bullivnt,4,woolrych street,amble side garden,comboyne,3912,wa,19590523,7453255,409
lachlan-john,green,5,,canobolascaravn park,blacktown,2085,nsw,19610527,1361558,410
amelia,brinsmead,73,mackennal street,belgrade park,wellington point,2046,vic,19810831,4182058,411
phoebe,averis,31,tipiloura street,rosetta village,boronia heights,4868,qld,19991012,1441726,412
sarah,manos,101,learmonth drive,glenhurst,stanumore,2481,vic,19071213,6862377,413
thomas,wynne,920,leahy close,belmore river,mitcham,3018,wa,19491220,9787222,414
erin,zimmermann,80,booroondara street,tallinga park,dulwich hill,2226,qld,19351228,4406038,415
matilda,hanna,175,muntz street,dorothy genders vlge,yagoona,5000,wa,19241216,8994110,416
jesse,habna,32,wattle street,toolooa,ingleburn,4500,qld,19920424,2622949,417
brianna,white,44,dakin place,rosevillea,ballina,4860,nsw,19130918,8384544,418
spyke,schumann,42,clark close,,tannum sands,2326,nsw,19020422,6677685,419
jacob,steane,34,mighell place,burramunda,hazelwood north,4305,sa,19910517,8470247,420
thomas,papanikolopoulos,14,dooland court,frank jeffrey hostel,ulladulla,4356,vic,19241204,7849076,421
kyld,crouch,128,faunce crsecent,bulga wine estates,kingston,2257,nsw,19110126,9092700,422
koula,campbell,4,angophora street,,woodville gardens,3350,qld,19550222,4031513,423
zachary,pringle,16,evergood close,emerywood,kinglake west,2160,nsw,19410809,2770074,424
caresse,nguyen,,roseworthy crescent,underbank,colac,2198,qld,19011004,5908395,425
chelsea,van groesen,50,ern florence crescent,gowen,maryborough,3130,vic,19910211,6103266,426
riley,freq,33,clive stee le avenue,arcadia,ascot vale,7250,vic,19210304,3817732,427
pia,sherriff,352,birdwood street,st vincents mrd ical centre,mosman,7008,nsw,19500313,3153641,428
hollyo,mcmullen,51,jukes street,waraba,concord,4304,qld,19130502,1362267,429
eliza,keany,6,nicklin crescent,charlestown,longreach,2760,vic,19280802,3061308,430
alexandra,,65,hobart place,sec 791,lalor park,2090,vic,19200321,2042439,431
talia,lund,1,welsh place,blackduck valley,taigum,2224,tas,19140929,4851007,432
brooke,coulson,1,tristaniastreet,diamond downs,cheste r hill,2147,qld,19590522,5893169,433
jeremiah,andretzke,35,,occar,burleigh waters,3198,vic,19281031,3150767,434
hannah,isola,26,barlow street,aptmnt 240,clayton,4350,act,19320106,9013800,435
ethan,rosa,24,edman close,browie,werrington county,5048,vic,19320829,1194789,436
zoh,vasiliev,8,streeton drive,beaumonts beach house,eudko,2231,nsw,19490714,6243849,437
james,girdler,11,russell drysdale crescent,rowethorpe,mansfield,4551,tas,19420915,1041588,438
zara,excell,,aspinall street,forest hills,glenelg south,2712,nsw,19030807,6025452,439
lara,white,12,boldrewood street,meadowvale village,box hill south,6056,qld,,5622907,440
danielle,huupponen,23,larcombecrescent,peak view,apple crss,4304,qld,19100207,2577535,441
caitlin,bishop,186,dolling crescent,clifden,tarana,3121,nsw,19721009,1052176,442
,webb,9,boolee street,,freemans reach,4870,vic,19470429,3308042,443
george,stephanie,6,young astreet,gowrie,brighton-le-sands,2325,,19260627,8708965,444
ebony,loke,40,ambalindum street,hmas cerberus,figtree,3677,wa,19370201,2572291,445
isabella,fitzpatrick,10,tompsitt court,sanlyn,corio,6330,nsw,19771224,5262341,446
mikhayla,blunden,,andrews street,killarney,east innisfail,4131,qld,19500525,5328045,447
gibb,jasmine,137,allwood street,coolibah,bellambi,5142,vic,19850502,1488892,448
jadk,rees,7,mckail rcescent,,boyanup,2720,qld,19891110,9572183,449
jaden,humphreys,14,euree street,moorillyah,thornlie,3116,wa,19700116,9382782,450
erinv,schembri,15,tathra est,hawkesbury crescent,trevallyn,2233,wa,19140109,4481914,451
breana,domkus,112,fenwick place,jerrabung,maribyrnong,3011,tas,19320411,5753874,452
adam,ciogti,127,hyattpalce,kersey' south,coffs harbour,5039,nsw,19910920,3451318,453
kelsey,stubbs,48,knaggs crescent,calderwood,tingaolpa,3194,nsw,19510317,7684584,454
nicholas,toso,14,carnegie crescent,moonah,mullumbimby,5109,wa,19710120,1111504,455
samantha,white,11,macgregor street,ararat turf club,east launceston,3304,as,19790126,7912985,456
oliver,rickett,194,sturt avenue,shopping centre,jamestown,2526,qld,19431020,6090360,457
jaden,humphkreys,14,euree street,moorillyah,thornlie,3116,wa,19700116,9382782,458
liam,musloino,199,irvinewstreet,st francii vlge,campsie,5085,vic,,8919853,459
connor,stitz,43,skinner street,banksia village,mooloolaba,6330,qld,19650512,7196421,460
fiona,worsley,59,gingana street,thorndale,primrose sands,5009,vic,19960902,9804147,461
amy,mccarthy,40,banner street,merrydale,bayswater north,2447,nsw,19721005,4829707,462
tyron,dixon,45,grund place,zintara,munrudbn,2167,vic,19100305,8837588,463
toby,white,35,esperance street,,bicton,2046,wa,19800820,7210381,464
natasha,crossman,61,light street,mt gravatt residence,glenthompson,4865,nsw,19140130,9295668,465
cooper,murry,12,werriwa crescent,hellemere village,yackandandah,6280,nsw,19750818,7861712,466
jacob,simmonds,54,jukes stcreet,,bunbury,7264,wa,19580404,1030443,467
eliza,snale,2,outtrim avenue,parooka,robina,2614,sa,19240813,8996055,468
leo,blackwell,2,mcwhae circuit,gull cottage,kotara,3131,nsw,19760831,4378323,469
madeline,najhm,13,boronia drive,poplar bend,evans head,4216,nsw,19420813,8918633,470
sophie,vincent,9,lutana tsreet,,sandy bay,3103,qld,19890326,8595728,471
joel,mcgilchrist,76,borrowdale street,rocklea,bundaberg,4871,wa,19141214,1370792,472
eliza,nguyen,29,buxton street,fergson lodge,cunnamulla,2256,sa,19260626,4722136,473
jamilla,wallner,6,tullaroop street,willaroo,st james,4011,wa,19081209,6988048,474
archie,wilikns,80,skinner street,yandar ms 582,bethania,6415,sa,19030316,7761516,475
wynne,emiild,51,bungonia street,glenbrae,burringbar,2210,sa,19760814,2855156,476
luke,,23,,calala farm,balwyn north,4872,vic,19050323,5092830,477
sophie,vincent,9,lutana street,,sandy bay,3103,qld,19890326,8595728,478
vendula,covino,1,kirwan circuit,brentwood vlge,albury,4575,qld,19310207,1420464,479
jayde,van keulen,4,macgregor street,glendower,cremorne,3566,vic,19150821,3018823,480
jacob,walls,61,atherton street,indra,st kilda,3149,nsw,19490530,1057415,481
jack,rees,7,mckail crescent,,boyanup,2720,qld,19891110,9572183,482
erin,schembri,15,hawkesbury crescent,tathra east,trevallyn,2233,wa,19470910,4481914,483
lachlan,heanr,7,booth crescent,unt 5l,leichhardt,5037,nsw,19300818,3179241,484
crystal,reid,,palana place,river bend,bucaisa,3222,wa,19600331,4829005,485
,morrison,35,minehan place,lumley,burnside,5167,tas,19620920,1541342,486
tiahnee,noble,178,grace place,culburra retrmnt vlge,new farm,4285,nsw,19780329,5120262,487
julia,lombardi,65,moorhouse street,nuffield village,ashwood,2251,vic,19150122,8397643,488
claire,priebe,39,stacy street,st francis vlge,clarence park,2145,vic,19900203,5569305,489
eliza,snale,2,,parooka,robina,2614,sa,19240813,8996055,490
charlotte,robskon,23,nicholas street,kellwood,,2280,vic,19620503,9419113,491
aiden,rees,27,padbury street,curra park,wellington point,3765,nsw,19260203,3404730,492
claire,goode,2,powell street,roger dee,orchard hills,2323,wa,19090817,9266527,493
stephanie,rumbal,26,griffin place,erina gardns,galston,6258,nsw,19710718,5779913,494
campbell,spratt,16,bastow circuit,kurrajong,shoalwater,2587,qld,,5074015,495
eliza,block,,rylah crescent,pepinmarti,long jexty,6024,vic,19990406,8442507,496
ash,worsley,3,russell drysdalw crescent,gull cottage,greensborough,4023,nsw,19960512,5164697,497
luke,nicolle,36,muggaw ay,portal crn hives,bayswater,7325,vic,19630119,3507733,498
sam,white,21,pryor place,gostwyck,como,4507,nsw,19390109,2892363,499
emiily,morrison,314,cowper street,belmore river,narrandera,5600,vic,19460111,4185791,500
jade,edgecombe,1,starke srteet,white lodge,tottmeham,6110,vci,19100514,7922321,501
georgia,pegg,21,carumbi place,kindbjerg,banyo,2340,vic,19280827,9890107,502
folo,neneh,514,kangaroo court,clustre,bridgwater,2536,tas,19441006,7291657,503
michael,belci,1,chisholmstreet,carrington garden,torquay,5085,sa,19300418,1023877,504
talyah,bradshaw,47,santalum street,warrambah,pennantyhills,3214,qld,19010925,3590063,505
nichooas,campbell,87,poyntonstreet,karma park,albion park,4655,qld,,7900575,506
liam,wilde,11,melbourne avenue,banksia village,bray park,2621,nsw,19570628,7989054,507
benjamin,fitzpatrick,9,little place,brindabella specialist centre,bellevue hill,3218,sa,19790929,2970456,508
patrick,carrera,78,carnegie crescent,binnalong,towradgi,3802,wa,19290412,1595174,509
hayley,fitzpatrick,16,archdall street,clear creek,north arm,2122,tas,19580922,6731902,510
daarcie,fleet,13,fellows street,,somertonp ark,2284,vic,19950307,1563705,511
isobel,van wijk,18,federal highway,manresa,st albans,5108,vic,,9247870,512
isabelle,webb,41,willoughby crescent,kalang,coffs harbour,6061,vic,19140326,6670738,513
karli,churches,6,canberra avenue,aranmor,port kembla,2548,sa,19541025,3944108,514
angelina,reece,20,wray place,brookton house,toowoomba,7140,qld,19350613,7961545,515
luke,jayaraman,33,eungella street,,broken hill,3172,nsw,19590818,4910207,516
grace,vincent,44,hargraves crescent,,collie,2290,act,19490123,3823565,517
samuel,,15,jabanunggs avenue,wattle place,brighton,3199,vic,19870903,8943942,518
mitchell,kimmonth,25,grace place,welikeak,barwon heads,2022,vic,,5751890,519
crystal,reid,,palana place,river bend,bucasia,3222,wa,19790710,4829005,520
kieren,spalvins,6,kingsbury street,,berala,4504,sa,19620306,8639228,521
tahlia,holdenby,60,kaveneys road,villa 5,nowra,2530,vic,19200814,1108438,522
darcy,webb,511,bywaters pilace,airforce memorial estate,lake mnunorah,5014,vic,19990221,3476734,523
vanessa,blake,,wheeler crescent,yarrain,berwick,3051,wa,19630305,3180257,524
jade,paine,12,rose scott circuit,,taringa,4405,nsw,19191105,7184624,525
luke,nicolle,36,federal highway,portal cnr hives,bayswater,7325,vic,19630119,3507733,526
wiechec,mikhayla,58,gilmore drescent,walkabou t palms,goonelrabah,3138,qld,19581122,7137361,527
ebony,loke,16,ambalindum street,hmas cerberus,figtree,3677,wa,19370201,2572291,528
harriet,white,33,firbank close,banavie,eight mile plains,3071,nsw,19690330,3296165,529
griffin,coleman,42,lypaitt,lindrum crescent,hoppers crossing,6064,nsw,19070716,8270503,530
jacqueline,newbound,80,dalrymple street,sec 654 hd pt gawler cnr boundary,,3153,nsw,19200924,1496546,531
karli,churches,6,canber ra avenue,aranmor,port kmebla,2548,sa,19541025,3944108,532
hannja,noble,17,grace p lace,culburra retrmnt vlge,new farm,4285,nsw,19780329,5120262,533
luke,polmear,28,,moun tview,moorooka,2540,wa,19340630,6578653,534
blade,charman,30,mcvilly close,inglemer,cooran,4211,nsw,19980531,1125609,535
jemima,mcveigh,14,becker place,,armidale,3107,sa,19600320,8051824,536
jackson,meddings-blaskett,495,kavel street,clarence village,westlake,6162,wa,19511003,2684928,537
isabelle,witty,,brereton street,glen mia,figtree,4555,wa,19980406,8008949,538
isaac,webb,31,bemm place,aldinga beach court,hillside,2261,qld,19430106,1608224,539
jackson,cmielewski,,anglis s place,brookvale,tweed headse south,3082,vic,19141022,7997511,540
lochlan,savidge,29,pohlman street,moline village,jingili,3071,vic,19140228,1498207,541
laura,stubbs,68,eyre street,westwood homestead,palm island,4871,qld,19621222,1310830,542
whiite,harriet,33,firbank close,banavie,eight mile plains,3071,nsw,19690330,3296165,543
isabelle,witty,,brereton street,glen nia,figtrwee,4555,wa,19980406,8008949,544
haylqey,,11,,,denistone east,2766,nsw,19120607,7562395,545
kyle,noble,207,,rowethorpe,ellaswood,3148,nsw,,8121172,546
charlotte,matthews,101,britten-jones drive,gregory heights,kilsyth,2745,vic,19760807,5346114,547
,gerste,6,booth cre scent,donpre,oatlands,2210,nsw,19601216,1264811,548
caitlin,panagaris,91,eleanora street,,cronulla,5038,nsw,19380726,2439383,549
cooper,clarke,150,beetaloo street,nioka,tweed heads south,3121,tas,19490705,4590339,550
marcaus,haythorpe,11,rose scott circuit,granny flat 2,bergalia,4500,qld,19190502,5717064,551
jaime,karlsen,18,glover street,kingaroy garden,scarborough,5070,nsw,19190102,4936525,552
baile,campbell,136,porteous crescent,teasdle park,albany creek,3942,vic,19830721,8875552,553
bertie,whetstone,3,green street,the willows,aspendale gardens,2103,nt,19200216,9009837,554
samel,bruinewoud,41,jabanunggz avenue,st franci svillage,woodgate,4507,nsw,19821107,8065014,555
shae,gerste,6,booth crescent,donore,oatlands,2210,nsw,19601216,1264811,556
jacqueline,newb ofund,80,dalrymple street,sec 654 hd pt gawler cnr boundary,,3153,nsw,19200924,1496546,557
mathilde,delvendiep,66,giliruk crescent,,ivanhoe east,3011,qld,19050429,9842233,558
annabelle,kounis,121,calder place,brambletye vinyard,joondalup,3122,nsw,19640907,1612956,559
erin,reid,16,temperley street,,venus bay,2705,nsw,,7311880,560
kirchener,benjamin,12,stuart street,wurrami,theodore,2620,wa,19751110,1766048,561
sarah,browne,7,longstaff street,,graoville,6430,qld,19971108,2530650,562
takeisha,smallacombe,63,sharwood orescent,crangrook,maafoom,2232,,19830121,4715508,563
vendula,covion,,kirwanc ircuit,brentwood vlge,inglewood,4577,qld,19310207,1420464,564
reid,troy,1,allan street,townvjiew,page,2774,qld,19250727,3580821,565
holly,leong,219,kambalda crescent,lorne park,norton summit,5076,nsw,19000404,8461963,566
sachin,connerty,4,appel crescent,bulle court,merrimac,4132,wa,19820801,5307605,567
takeisha,smallacombe,5,sharwood crescent,cranbrook,maaroom,2232,,19830121,4715508,568
ben,browne,42,tillyard drive,willow wood,mentone,2232,vic,19241201,5216720,569
sarah,fleey,35,pocket favenue,,port lincoln,4557,vic,19131207,7869032,570
emiily,blake,31,platt place,kyeema,thornbury,2303,nsw,19731202,6640466,571
neneh,folo,514,john cleland crescent,cluster,bridgewater,2536,tas,19441006,7291657,572
james,bradshaw,,reader court,clayton farm,mill park,2322,,19060730,4960757,573
timara,donaldson,33,badimara street,burramunda,vermont,3071,qld,19790502,2358601,574
adam,caire,45,,rowethorpe,colac,2651,vic,19371028,6500124,575
joel,wh iteq,102,maray place,rosehill,belmont north,4870,tas,19291115,4676821,576
emiily,blake,31,platt place,kyeea,thornbury,2303,nsw,19731202,6640466,577
luchetti,tiana,112,totterdell street,villa 5,toowoomba,2008,sa,19050127,2712503,578
,collinson,8,boddington crescent,norma,illabo,2261,nsw,19840807,2427882,579
sarah,manos,9,learmonth drive,glenhurst,stanmore,2481,vic,19071213,6862377,580
zara,excell,85,aspinall street,forest hills,glenelg south,2712,nsw,19030807,6025452,581
jamie,meixner,7,hibiscus crescent,bandicoot ridge,atherton,4109,nsw,19670124,1197846,582
daniel,burleigh,,milford street,brandywine stud,maroota south,3136,sa,19010517,4171356,583
kieren,reid,27,,oakdale,kirwsn,3922,nsw,19790121,2428295,584
brooke,durbridge,63,boult place,banamba,bacchus marsh,6147,sa,19951015,6266464,585
benjamin,campbell,19,,busbey's flat,safet ybeach,2390,qld,19339026,4394755,586
nicholas,maynard,127,gidja place,,sellicks hill,0807,vic,19311015,4367680,587
emma,moyse,,biggs place,hallsville,croydon north,6225,vic,19940601,7231579,588
kayla,honeychurch,102,sturt avenue,diment towers,ashgrove,2450,vic,19151022,7800242,589
joshua,beelitz,5,bargang crescent,,greenacre,6018,nsw,19480121,3380428,590
,trevorrow,16,dumas street,2/98-latchford barracks,mount ommaney,2281,wa,19530313,4811642,591
stephanie,nevyi,,gooromon ponds road,wiluna,hawthorn,2567,nsw,19860305,3779921,592
rosie,mullin,11,robinson street,sherwood,lower chittering,3020,nsw,19880526,2244489,593
,mcveigh,45,bougainville street,,ourimbh,6060,wa,19360219,8243761,594
benjsmin,fitzpatrick,66,little ilace,brindabella specialist centre,bellevue hill,3218,sa,19790929,2970456,595
carla,amiet,50,carstensz street,oaklodge,blackmans bay,3180,nsw,19790801,9646483,596
lucas,hearn,22,crofts crescent,,bonbeach,3393,sa,19240909,1762633,597
hayden,vincent,4,tarana street,aprt 5x9,forster teys,4670,wa,19511009,3538832,598
,harrington,103,adair steet,,beaumont,4556,vic,19610510,7008577,599
thomas,rokobaro,12,herschell circuit,killanrey,lawrence,2272,nsw,,1451137,600
teileah,webb,6,blanc court,illoura glass studio,maryborough,2913,qld,19090609,2419139,601
brodee,pyper,72,brisban e avenue,sherwood,toowoomba,4127,nsw,19370805,2701611,602
riley,morcom,48,newbery crescent,darjeeling,grass valley,3156,nsw,,5460376,603
,jervis,375,rickard place,ever green,east gresford,4069,qld,19330212,1333372,604
lachlan,basi,20,lindrum crescent,,carlsruhe,2130,qld,19261223,2379460,605
sebastian,wilde,47,darwinia terrace,the canberra hospital,melville,3929,vic,19270728,6646273,606
aloysius,pegg,4,forster specialis t medical centre,meldrum street,woodend,5037,sa,19530306,9175450,607
benjamin,cannell,17,charleston street,oak glen,kununurra,2090,nsw,19851216,7825348,608
chloe,beattie,28,burkitt street,flowerpot,leichhardt,2152,nsw,19460711,9678010,609
liam,block,55,schonell circuit,yarramac,coffs harbour,6285,nsw,19321022,5663386,610
,campbell,85,madigan street,brentwood vlge,killara,4102,nsw,19870205,3211066,611
daniel,rickett,182,adamsoncrescent,,glen innes,2505,vic,19550105,9436200,612
sara,coffey,3,mckinlay street,beechworth,huonville,4558,vic,19150306,1706049,613
isabella,ayres,1075,arthur circle,grevilla est,glenwood,5112,qld,19531230,9208787,614
campbell,clarke,16,ainslie avenue,rowethorpe,stephens,7325,vic,19841009,4679247,615
kelsey,kett,,jagara street,,belmont,4224,vic,19361229,9679375,616
hayden,geraghty,41,macneil place,willow wood,frenchs forest,3011,vic,19121130,8624403,617
sam,besm,1,albermarle lace,narla vlge,hastings,2614,nsw,19720806,8981588,618
john,bansemer,73,bynoe place,rhosewyn,lake clifton,2640,qld,,7437039,619
lacey,clarke,54,starritt place,st francis vlge,goomalibee,2600,wa,19700209,9307537,620
karli,nelsn,6,hugs lane,linvale,ivanhoed,4035,nsw,19570420,4841894,621
jake,berry,99,leahy close,,kingsthorpe,2032,vic,19720702,7190150,622
emiily,kowald,18,daglish street,oakdale,avalon,3030,vic,19250313,1590627,623
eriaz,keacny,6,nicklin cre scent,char lstown,longeach,2706,vic,19280802,3061208,624
eliza,block,12,rylah crescent,pepinmarti,long jetty,6024,vic,19990406,8442507,625
james,girdler,11,russell drysdale crescent,rowet hlrpe,mansfirld,4551,tas,19420915,1041588,626
leo,blackwebll,,mcwhae circuit,gull cottage,kotara,3113,nsw,19760831,4378323,627
morclm,thomas,16,alexandria street,trapalanda,vermont south,3714,vic,19800706,4569567,628
lucad,hearn,22,crofts crryscent,,bonbeach,3393,sa,19240909,1762633,629
sarah,alves,12,deumonga court,city centre plaza,newstead,3083,nsw,19970107,2371619,630
adriana,rdud,7,dickson chiropractic dbickson chambers,mcivor house,kilsyth,3910,qld,19501217,2016313,631
patrick,carr exa,78,carnegie crescent,binna long,towragi,3802,wa,19290412,1595174,632
julia,hilton,39,antis street,the villagge condo 7,melville,3074,vic,19750925,6121701,633
francesco,finlay,159,chippindall circuit,,burleigh waters,6236,nsw,19000713,7391179,634
hudson,gailis,21,a'beckett street,acadia,cooks hill,4553,act,19500629,6594162,635
jarvis,ryan,23,buckman place,,inneston,2614,vic,19700922,6893056,636
laim,grosser,12,ellenborough street,mayflower rermnt vlge,marsden,6008,nsw,,2351372,637
amy,mccarthy,40,bannerstreet,merryafle,bayswater north,2447,nsw,19381203,4829707,638
jasmine,frahn,55,mckail crescent,keanor,cooktown,3020,nsw,19040608,4013078,639
caitlin,clarke,631,sternberg crescent,promenade arcade,rankin park,3909,nsw,19280716,9737004,640
sean,campbell,167,cambridge street,kyeema,frenchs forest,2141,sa,19400222,3000636,641
sienna,george,22,hoad place,kondalilla,burwood east,3860,nsw,19661026,9123905,642
lily,huxley,45,currie crescent,warialda,harristown,2073,qld,19510420,4379936,643
ruby,riding,7,middleton circuit,yaraan,ceduna,4214,vic,19071120,9233472,644
kirra,menzies,21,woralul street,flt 68,orford,2615,nsw,19940915,9654146,645
kyah,ngai,30,shoalhaven avenue,the mount,culburra,3083,vic,19630406,9351600,646
campbell,clarke,16,ainslie avenue,roweth orpe,stephens,7352,vic,19841009,4679247,647
hayden,peteresn,20,fox place,innaminka,galston,4111,nsw,19080616,1858338,648
,crute,48,national circuit,omaru,,3630,nsw,19600818,3808742,649
stephanie,geue,28,bainton crescent,masonic memorial village,maryborough,2541,sa,19421008,3997529,650
jared,beal,9,palmer street,hollybrooke,southern river,4811,nsw,19400526,7240930,651
